GEOID,n_obs,Q2yr_gev,Q10yr_gev,Q50yr_gev,Q100yr_gev,gev_shape,aic_gev,Q2yr_lp3,Q10yr_lp3,Q50yr_lp3,Q100yr_lp3,aic_lp3,Q100yr_best,best_model
48265,75,71.04227199832437,3654340.6002453384,106796429760.4736,8250446140703.079,-6.226055939501677,1736.570400066264,6311.626380839763,56481.14102071393,137350.0275912827,175879.67008825293,325.6319687201006,175879.67008825293,LP3
48267,92,140.60477232444714,3101985.687122758,80530603739.74329,5917596472198.079,-6.154373128106103,2292.428592490742,14894.54392445187,102896.94494582908,205883.56960386067,245736.47045548563,381.4532299089359,245736.47045548563,LP3
48269,46,152.9274687597374,808939.8336055588,13913106720.653225,859091885155.9365,-5.905159206145594,905.2845640980348,1044.8178210351257,7670.534653855722,35293.431231672126,64334.30920591044,158.8726931776941,64334.30920591044,LP3
48271,86,28.08727874656386,1543042.7714720836,22492180256.53959,1294906286130.0132,-5.8048761818354535,1943.933928890475,5145.018161018602,90627.07179697591,264433.65433360124,350272.3890040964,423.04829958782767,350272.3890040964,LP3
48273,10,103.83129054021562,218336.42325657784,4200451257.8894386,271979674248.57892,-5.973177125064421,161.31640725862894,373.7696136587403,2669.9550493163983,14767.60945831278,29891.730025765253,35.54048302680073,29891.730025765253,LP3
48275,56,365.86938651676326,211371.85092050297,3897275276.356168,247987544129.49475,-5.94820693750486,1237.7128274880188,2753.5423765559053,7753.481208102082,14958.427454788092,18978.876443598303,137.1696678793446,18978.876443598303,LP3
48277,65,880.556923065668,112762125.32111932,99856325475063.16,3.262816456006575e+16,-8.291479660527926,1797.1093779008131,38388.81409426273,66733.66930762853,80524.5560840273,84316.55379775699,110.40651271097376,84316.55379775699,LP3
48281,98,620.0806549592758,30669542.85829866,7446975782920.138,1408108717390626.2,-7.508042655065527,2641.3486343405816,24930.122450449948,74791.40980178524,134129.0059773595,162642.86657395255,267.4759924887195,162642.86657395255,LP3
48283,82,29.823323784245865,2362653.26045106,46856303299.67135,3072580300570.0283,-5.991297785021715,1922.5540072013016,5722.882645486332,26233.82860772962,48724.77294071622,57905.0219947254,295.59030939587234,57905.0219947254,LP3
48285,72,336.38202107738067,4812084.174938519,299249497269.4882,31813240859963.246,-6.683313610805374,1772.986158492973,9386.617975108818,35314.1844599844,70081.95950504922,87558.15385820757,226.9690352594029,87558.15385820757,LP3
48287,52,52.03177138167099,1214578.2096574786,27610942663.84009,1918167509202.915,-6.073974829596592,1063.7022262584958,1880.343553618251,8670.080200091765,14923.961251979086,17124.651166712356,194.0779721557965,17124.651166712356,LP3
48289,84,189.05798229426475,2902881.8471803064,124791224907.98586,11349334674949.502,-6.459759368704158,2135.6399535348646,15660.703901806726,46779.30638192101,64115.941348958746,68623.85934974872,261.7815555770834,68623.85934974872,LP3
48291,99,871.2199976592451,48376941.211034946,16152077559181.562,3494287754290613.0,-7.700880509652563,2756.3378118795513,41746.72113202008,95303.32274783954,129170.28837916986,139797.84778909592,240.16699633775065,139797.84778909592,LP3
48293,62,102.52579518026596,1580911.253867233,43827115415.32508,3311200881128.1313,-6.194139278755862,1476.1248670385582,6966.603159851203,22256.059675974117,26206.596216423983,26708.42705560428,184.98886532748304,26708.42705560428,LP3
